response	task	participantID	age	gender	language	amE	comments	expression	cc	context	trial
0.79	practice	3	29	female	English	AmE	"""":""""""""}	practice	noCC	other	1
0	practice	3	29	female	English	AmE	"""":""""""""}	practice	noCC	other	2
0.75	practice	3	29	female	English	AmE	"""":""""""""}	practice	noCC	other	3
0	practice	3	29	female	English	AmE	"""":""""""""}	practice	noCC	other	4
0	target	3	29	female	English	AmE	"""":""""""""}	too	noCC	explicitIgnorance	6
1	target	3	29	female	English	AmE	"""":""""""""}	say	Julian dances salsa	explicitIgnorance	7
1	target	3	29	female	English	AmE	"""":""""""""}	controlGood4	noCC	other	8
0	target	3	29	female	English	AmE	"""":""""""""}	continue	noCC	explicitIgnorance	9
1	target	3	29	female	English	AmE	"""":""""""""}	acknowledge	Josh learned to ride a bike yesterday	explicitIgnorance	10
0	target	3	29	female	English	AmE	"""":""""""""}	know	Sophia got a tattoo	explicitIgnorance	11
1	target	3	29	female	English	AmE	"""":""""""""}	controlGood2	noCC	explicitIgnorance	12
1	target	3	29	female	English	AmE	"""":""""""""}	hear	Danny ate the last cupcake	factH	13
0	target	3	29	female	English	AmE	"""":""""""""}	controlGood3	noCC	other	14
1	target	3	29	female	English	AmE	"""":""""""""}	pretend	Jackson ran 10 miles	explicitIgnorance	15
1	target	3	29	female	English	AmE	"""":""""""""}	discover	Josie went on vacation to France	explicitIgnorance	16
0	target	3	29	female	English	AmE	"""":""""""""}	prove	Grace visited her sister	factH	17
0.17	target	3	29	female	English	AmE	"""":""""""""}	confirm	Mary is pregnant	factL	18
1	target	3	29	female	English	AmE	"""":""""""""}	reveal	Olivia sleeps until noon	explicitIgnorance	19
0	target	3	29	female	English	AmE	"""":""""""""}	again	noCC	explicitIgnorance	20
1	target	3	29	female	English	AmE	"""":""""""""}	controlGood1	noCC	explicitIgnorance	21
1	target	3	29	female	English	AmE	"""":""""""""}	see	Jon walks to work	explicitIgnorance	22
0	target	3	29	female	English	AmE	"""":""""""""}	announce	Emma studied on Saturday morning	factL	23
1	target	3	29	female	English	AmE	"""":""""""""}	right	Mia drank 2 cocktails last night	explicitIgnorance	24
