expression,contrast,linetype,context,x,xend,y,yend
admit,explicitIgnorance - factH,0,explicitIgnorance,1,3,-0.15,-0.15
admit,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
admit,factL - factH,6,factH,2,3,-0.1,-0.1
confess,explicitIgnorance - factH,0,explicitIgnorance,1,3,-0.15,-0.15
confess,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
confess,factL - factH,6,factH,2,3,-0.1,-0.1
confirm,explicitIgnorance - factH,6,explicitIgnorance,1,3,-0.15,-0.15
confirm,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
confirm,factL - factH,6,factH,2,3,-0.1,-0.1
announce,explicitIgnorance - factH,0,explicitIgnorance,1,3,-0.15,-0.15
announce,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
announce,factL - factH,6,factH,2,3,-0.1,-0.1
see,explicitIgnorance - factH,3,explicitIgnorance,1,3,-0.15,-0.15
see,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
see,factL - factH,6,factH,2,3,-0.1,-0.1
discover,explicitIgnorance - factH,3,explicitIgnorance,1,3,-0.15,-0.15
discover,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
discover,factL - factH,6,factH,2,3,-0.1,-0.1
think,explicitIgnorance - factH,3,explicitIgnorance,1,3,-0.15,-0.15
think,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
think,factL - factH,6,factH,2,3,-0.1,-0.1
acknowledge,explicitIgnorance - factH,0,explicitIgnorance,1,3,-0.15,-0.15
acknowledge,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
acknowledge,factL - factH,1,factH,2,3,-0.1,-0.1
prove,explicitIgnorance - factH,6,explicitIgnorance,1,3,-0.15,-0.15
prove,explicitIgnorance - factL,1,factL,1,2,-0.05,-0.05
prove,factL - factH,6,factH,2,3,-0.1,-0.1
know,explicitIgnorance - factH,6,explicitIgnorance,1,3,-0.15,-0.15
know,explicitIgnorance - factL,0,factL,1,2,-0.05,-0.05
know,factL - factH,6,factH,2,3,-0.1,-0.1
hear,explicitIgnorance - factH,0,explicitIgnorance,1,3,-0.15,-0.15
hear,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
hear,factL - factH,6,factH,2,3,-0.1,-0.1
be.annoyed,explicitIgnorance - factH,1,explicitIgnorance,1,3,-0.15,-0.15
be.annoyed,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
be.annoyed,factL - factH,6,factH,2,3,-0.1,-0.1
say,explicitIgnorance - factH,6,explicitIgnorance,1,3,-0.15,-0.15
say,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
say,factL - factH,6,factH,2,3,-0.1,-0.1
demonstrate,explicitIgnorance - factH,0,explicitIgnorance,1,3,-0.15,-0.15
demonstrate,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
demonstrate,factL - factH,0,factH,2,3,-0.1,-0.1
be.right,explicitIgnorance - factH,0,explicitIgnorance,1,3,-0.15,-0.15
be.right,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
be.right,factL - factH,6,factH,2,3,-0.1,-0.1
establish,explicitIgnorance - factH,6,explicitIgnorance,1,3,-0.15,-0.15
establish,explicitIgnorance - factL,1,factL,1,2,-0.05,-0.05
establish,factL - factH,6,factH,2,3,-0.1,-0.1
inform,explicitIgnorance - factH,0,explicitIgnorance,1,3,-0.15,-0.15
inform,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
inform,factL - factH,6,factH,2,3,-0.1,-0.1
reveal,explicitIgnorance - factH,0,explicitIgnorance,1,3,-0.15,-0.15
reveal,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
reveal,factL - factH,6,factH,2,3,-0.1,-0.1
suggest,explicitIgnorance - factH,6,explicitIgnorance,1,3,-0.15,-0.15
suggest,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
suggest,factL - factH,6,factH,2,3,-0.1,-0.1
pretend,explicitIgnorance - factH,3,explicitIgnorance,1,3,-0.15,-0.15
pretend,explicitIgnorance - factL,6,factL,1,2,-0.05,-0.05
pretend,factL - factH,0,factH,2,3,-0.1,-0.1
