workerid,proliferate.condition,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,catch_trials,subject_information.age,subject_information.american,subject_information.comments,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
462,default,block1,muffins,ai,0.97,16919,MC,5,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,mary,ai,0.96,8548,be_right,6,be_right,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,danny,ai,0.03,26064,inform,7,inform,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,grace,ai,0.06,15367,be_annoyed,8,be_annoyed,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,owen,ai,0.74,25489,confess,9,confess,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,zoe,ai,0.15,10972,demonstrate,10,demonstrate,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,isabella,ai,0.19,11530,reveal,11,reveal,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,tony,ai,0.15,9952,hear,12,hear,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,mia,ai,0.14,12010,announce,13,announce,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,jayden,ai,0.19,7120,discover,14,discover,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,hat,ai,0.97,9296,MC,15,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,charley,ai,0.07,8318,prove,16,prove,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,jon,ai,0.05,8853,establish,17,establish,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,garage,ai,0.99,7408,MC,18,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,pizza,ai,0.98,4390,MC,19,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,ballet,ai,0.98,3705,MC,20,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,jackson,ai,0.08,7792,think,21,think,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,julian,ai,0.02,6548,suggest,22,suggest,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,olivia,ai,0,6802,admit,23,admit,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,josie,ai,0.07,17384,see,24,see,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,frank,ai,0.37,17653,acknowledge,25,acknowledge,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,emma,ai,0.65,11465,pretend,26,pretend,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,sophia,ai,0.62,9824,confirm,27,confirm,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,kids,ai,0.99,4153,MC,28,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,emily,ai,0.8,11101,know,29,know,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block1,josh,ai,0.68,15874,say,30,say,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,tony,projective,0.63,19325,hear,32,hear,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,zoe,projective,0.32,11290,demonstrate,33,demonstrate,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,danny,projective,0.85,26432,inform,34,inform,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,garage,projective,0.99,4335,MC,35,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,jackson,projective,0.11,7557,think,36,think,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,jon,projective,0.73,16177,establish,37,establish,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,frank,projective,0.76,4809,acknowledge,38,acknowledge,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,muffins,projective,0.98,3159,MC,39,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,kids,projective,0.98,3492,MC,40,MC,MC,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,emma,projective,0.15,10726,pretend,41,pretend,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,jayden,projective,0.78,6385,discover,42,discover,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,sophia,projective,0.79,5965,confirm,43,confirm,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,grace,projective,0.99,5562,be_annoyed,44,be_annoyed,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,olivia,projective,0.92,8304,admit,45,admit,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,owen,projective,0.82,8119,confess,46,confess,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,josie,projective,0.98,6929,see,47,see,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,josh,projective,0.92,7887,say,48,say,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,julian,projective,0.28,5459,suggest,49,suggest,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
462,default,block2,mia,projective,0.67,9086,announce,50,announce,C,[],18,Yes,,Female,English,Chrome,Windows,768,1366,10.23645,
